#時刻,脳血流(左),脳血流(左),脳血流(右),脳血流(右),脈拍(左),脈拍(右),M1,M2,M3,M4,M5,M6
6.7,0.015396,-0.085795,-0.097502,-0.212056,78.63908,68.870546,1,0,0,0,0,0
6.8,0.013827,-0.087364,-0.097118,-0.211672,78.06531,69.031466,0,0,0,0,0,0
6.9,0.013867,-0.087324,-0.096264,-0.210818,77.654451,69.11329,0,0,0,0,0,0
7,0.01374,-0.087451,-0.095291,-0.209845,77.699429,69.525719,0,0,0,0,0,0
7.1,0.012943,-0.088248,-0.094801,-0.209355,77.412203,70.080115,0,0,0,0,0,0
7.2,0.011074,-0.090117,-0.094364,-0.208918,77.132678,70.547952,0,0,0,0,0,0
7.3,0.009881,-0.09131,-0.093825,-0.208379,77.119907,71.102348,0,0,0,0,0,0
7.4,0.011476,-0.089715,-0.093467,-0.208021,77.536573,71.356585,0,0,0,0,0,0
7.5,0.012869,-0.088322,-0.092432,-0.206986,77.908987,71.528999,0,0,0,0,0,0
7.6,0.013676,-0.087515,-0.09183,-0.206384,78.108727,71.610823,0,0,0,0,0,0
7.7,0.016131,-0.08506,-0.087995,-0.202549,77.660009,71.692646,0,0,0,0,0,0
7.8,0.020086,-0.081105,-0.081064,-0.195618,78.132343,72.248202,0,0,0,0,0,0
7.9,0.022339,-0.078852,-0.076019,-0.190573,78.42605,72.72179,0,0,0,0,0,0
8,0.02261,-0.078581,-0.074109,-0.188663,78.469014,73.610679,0,0,0,0,0,0
8.1,0.021643,-0.079548,-0.073655,-0.188209,78.137998,74.05582,0,0,0,0,0,0
8.2,0.020348,-0.080843,-0.073625,-0.188179,78.221017,74.228234,0,0,0,0,0,0
8.3,0.018365,-0.082826,-0.074388,-0.188942,78.752932,74.31868,0,0,0,0,0,0
8.4,0.016258,-0.084933,-0.072591,-0.187145,79.178464,74.491094,0,0,0,0,0,0
8.5,0.014195,-0.086996,-0.067414,-0.181968,79.451268,74.745331,0,0,0,0,0,0
8.6,0.014457,-0.086734,-0.060379,-0.174933,80.043505,74.827299,0,0,0,0,0,0
8.7,0.016731,-0.08446,-0.05342,-0.167974,80.52246,75.087432,0,0,0,0,0,0
8.8,0.017208,-0.083983,-0.049108,-0.163662,80.840243,75.341813,0,0,0,0,0,0
8.9,0.015575,-0.085616,-0.048938,-0.163492,80.955491,75.514226,0,0,0,0,0,0
9,0.013695,-0.087496,-0.050661,-0.165215,81.167692,75.598972,0,0,0,0,0,0
9.1,0.01241,-0.088781,-0.052225,-0.166779,81.246185,75.771386,0,0,0,0,0,0
9.2,0.012404,-0.088787,-0.050425,-0.164979,81.46157,75.9438,0,0,0,0,0,0
9.3,0.014024,-0.087167,-0.046059,-0.160613,81.567151,76.034709,0,0,0,0,0,0
9.4,0.015212,-0.085979,-0.041538,-0.156092,81.672731,76.201422,0,0,0,0,0,0
9.5,0.01761,-0.083581,-0.036537,-0.151091,81.856805,76.040502,0,0,0,0,0,0
9.6,0.017785,-0.083406,-0.031906,-0.14646,82.063982,76.040502,0,0,0,0,0,0
9.7,0.012236,-0.088955,-0.030129,-0.144683,82.19763,76.30366,0,0,0,0,0,0
9.8,0.004764,-0.096427,-0.032038,-0.146592,82.19763,76.631529,0,0,0,0,0,0
9.9,-0.000899,-0.10209,-0.033448,-0.148002,82.574806,76.716275,0,0,0,0,0,0
10,-0.004189,-0.10538,-0.031185,-0.145739,82.28461,76.962177,0,0,0,0,0,0
10.1,-0.006423,-0.107614,-0.02714,-0.141694,82.72034,77.29551,0,0,0,0,0,0
10.2,-0.007362,-0.108553,-0.022239,-0.136793,82.692867,77.368998,0,0,0,0,0,0
10.3,-0.007297,-0.108488,-0.017066,-0.13162,82.6264,77.459742,0,0,0,0,0,0
10.4,-0.006146,-0.107337,-0.0119,-0.126454,82.518214,77.550486,0,0,0,0,0,0
10.5,-0.007237,-0.108428,-0.009031,-0.123585,82.65084,77.711642,0,0,0,0,0,0
10.6,-0.009213,-0.110404,-0.009163,-0.123717,82.82178,78.044975,0,0,0,0,0,0
10.7,-0.009872,-0.111063,-0.007778,-0.122332,82.739022,78.378308,0,0,0,0,0,0
10.8,-0.008757,-0.109948,-0.003365,-0.117919,82.766067,78.711128,0,0,0,0,0,0
10.9,-0.004458,-0.105649,0.002105,-0.112449,82.6996,78.959716,0,0,0,0,0,0
11,0.0006,-0.100591,0.007937,-0.106617,82.633132,79.211031,0,0,0,0,0,0
11.1,0.00436,-0.096831,0.013151,-0.101403,83.107848,79.301775,0,0,0,0,0,0
11.2,0.007518,-0.093673,0.017439,-0.097115,83.691182,79.301775,0,0,0,0,0,0
11.3,0.008431,-0.09276,0.017962,-0.096592,83.873553,79.319031,0,0,0,0,0,0
11.4,0.007625,-0.093566,0.016315,-0.098239,83.678747,79.480187,0,0,0,0,0,0
11.5,0.008346,-0.092845,0.017441,-0.097113,84.193033,79.567619,0,0,0,0,0,0
11.6,0.010022,-0.091169,0.021598,-0.092956,84.23202,79.658014,0,0,0,0,0,0
11.7,0.012615,-0.088576,0.027362,-0.087192,84.70821,79.745446,0,0,0,0,0,0
11.8,0.015254,-0.085937,0.033306,-0.081248,85.117815,79.906017,0,0,0,0,0,0
11.9,0.017673,-0.083518,0.038938,-0.075616,85.527419,79.906017,0,0,0,0,0,0
12,0.017911,-0.08328,0.040822,-0.073732,86.306474,79.8453,0,0,0,0,0,0
12.1,0.017549,-0.083642,0.040125,-0.074429,86.822347,79.697152,0,0,0,0,0,0
12.2,0.016063,-0.085128,0.038251,-0.076303,87.167175,79.549004,0,0,0,0,0,0
12.3,0.015197,-0.085994,0.037012,-0.077542,87.512002,79.31046,0,0,0,0,0,0
12.4,0.013029,-0.088162,0.039908,-0.074646,87.421607,79.400856,0,0,0,0,0,0
12.5,0.012208,-0.088983,0.044903,-0.069651,87.712164,79.494368,0,0,0,0,0,0
12.6,0.013194,-0.087997,0.050754,-0.0638,87.747251,79.748452,0,0,0,0,0,0
12.7,0.012764,-0.088427,0.05335,-0.061204,87.461537,79.748452,0,0,0,0,0,0
12.8,0.011234,-0.089957,0.052922,-0.061632,87.629604,79.576203,0,0,0,0,0,0
12.9,0.008716,-0.092475,0.050798,-0.063756,88.069165,79.421211,0,0,0,0,0,0
13,0.006938,-0.094253,0.04871,-0.065844,87.445788,79.178786,0,0,0,0,0,0
13.1,0.005273,-0.095918,0.046408,-0.068146,87.080876,78.845967,0,0,0,0,0,0
13.2,0.005644,-0.095547,0.046648,-0.067906,86.961828,78.685047,0,0,0,0,0,0
13.3,0.006846,-0.094345,0.050295,-0.064259,86.891207,78.685047,0,0,0,0,0,0
13.4,0.007667,-0.093524,0.053194,-0.06136,86.575115,78.845618,0,0,0,0,0,0
13.5,0.007624,-0.093567,0.053116,-0.061438,85.635961,78.660433,0,0,0,0,0,0
13.6,0.00697,-0.094221,0.05139,-0.063164,84.827691,78.475248,0,0,0,0,0,0
13.7,0.006124,-0.095067,0.049335,-0.065219,84.150807,78.290062,0,0,0,0,0,0
13.8,0.005092,-0.096099,0.047044,-0.06751,84.057969,78.104877,0,0,0,0,0,0
13.9,0.005013,-0.096178,0.0452,-0.069354,84.324635,77.599181,0,0,0,0,0,0
14,0.004391,-0.0968,0.044225,-0.070329,84.21035,76.999973,0,0,0,0,0,0
14.1,0.006125,-0.095066,0.047157,-0.067397,83.664895,76.816065,0,0,0,0,0,0
14.2,0.006133,-0.095058,0.04801,-0.066544,83.041518,76.552907,0,0,0,0,0,0
14.3,0.005828,-0.095363,0.047258,-0.067296,82.250075,76.461998,0,0,0,0,0,0
14.4,0.005697,-0.095494,0.046055,-0.068499,81.187137,76.283369,0,0,0,0,0,0
14.5,0.005102,-0.096089,0.044323,-0.070231,81.810514,76.104741,0,0,0,0,0,0
14.6,0.004732,-0.096459,0.042798,-0.071756,81.784285,76.013832,0,0,0,0,0,0
14.7,0.00435,-0.096841,0.041297,-0.073257,81.403332,75.759451,0,0,0,0,0,0
14.8,0.006768,-0.094423,0.040431,-0.074123,81.214391,75.253755,0,0,0,0,0,0
14.9,0.009763,-0.091428,0.040666,-0.073888,80.960307,74.742307,0,0,0,0,0,0
15,0.01277,-0.088421,0.040691,-0.073863,80.960307,74.742307,0,0,0,0,0,0
15.1,0.015988,-0.085203,0.040824,-0.07373,81.850996,74.660339,0,0,0,0,0,0
15.2,0.018727,-0.082464,0.040579,-0.073975,82.623257,74.660339,0,0,0,0,0,0
15.3,0.021321,-0.07987,0.03948,-0.075074,81.382328,74.57262,0,0,0,0,0,0
15.4,0.02389,-0.077301,0.038711,-0.075843,80.425186,74.57262,0,0,0,0,0,0
15.5,0.026707,-0.074484,0.03797,-0.076584,79.825186,74.57262,0,0,0,0,0,0
15.6,0.029495,-0.071696,0.037217,-0.077337,79.727783,74.066873,0,0,0,0,0,0
